,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
0,straumen,63.87,11.3,35.6,93.0,83.0,1.74,NO
1,busselton,-33.65,115.33,59.22,97.0,95.0,22.03,AU
2,sao filipe,14.9,-24.5,71.13,72.0,28.0,19.19,CV
3,yulara,-25.24,130.99,69.8,37.0,22.0,9.17,AU
4,tasiilaq,65.61,-37.64,32.0,95.0,99.0,13.87,GL
5,the valley,18.22,-63.06,80.2,78.0,40.0,10.29,AI
6,puerto ayora,-0.74,-90.35,82.18,74.0,40.0,9.17,EC
7,barrow,71.29,-156.79,6.8,71.0,1.0,11.41,US
8,albany,42.6,-73.97,43.9,72.0,76.0,11.52,US
9,georgetown,5.41,100.34,79.68,94.0,40.0,4.7,MY
10,zenzeli,45.92,47.05,53.85,54.0,100.0,1.54,RU
11,kargil,34.57,76.1,27.37,24.0,96.0,5.37,IN
12,cape town,-33.93,18.42,67.87,49.0,85.0,3.89,ZA
13,talnakh,69.49,88.4,35.6,80.0,100.0,33.55,RU
14,raga,8.46,25.68,72.46,20.0,68.0,4.36,SS
15,ewa beach,21.32,-158.01,80.78,54.0,1.0,10.29,US
16,srivardhan,18.03,73.02,77.92,82.0,38.0,4.68,IN
17,jamestown,42.1,-79.24,43.74,41.0,1.0,10.29,US
18,hermanus,-34.42,19.23,64.0,66.0,78.0,3.0,ZA
19,eureka,40.8,-124.16,55.69,73.0,95.0,3.0,US
20,longyearbyen,78.22,15.64,28.4,92.0,20.0,2.24,SJ
21,necochea,-38.55,-58.74,62.94,79.0,25.0,11.01,AR
22,erenhot,43.65,111.98,44.96,60.0,76.0,7.65,CN
23,torbay,47.67,-52.73,32.31,91.0,20.0,13.87,CA
25,ushuaia,-54.8,-68.3,46.4,61.0,40.0,11.41,AR
26,avarua,-21.21,-159.78,82.4,65.0,70.0,8.05,CK
27,key largo,25.09,-80.45,78.46,90.0,5.0,5.01,US
28,yellowknife,62.46,-114.35,25.93,92.0,90.0,10.29,CA
29,pevek,69.7,170.31,3.22,91.0,30.0,7.29,RU
31,adrar,20.5,-10.07,74.77,35.0,80.0,10.36,MR
32,mataura,-46.19,168.86,55.99,68.0,80.0,10.0,NZ
33,san patricio,19.22,-104.7,78.8,83.0,20.0,13.87,MX
34,havoysund,71.0,24.66,37.4,93.0,100.0,24.16,NO
35,kidal,18.44,1.41,85.98,11.0,4.0,8.21,ML
36,port hedland,-20.32,118.57,80.6,100.0,85.0,5.82,AU
37,povenets,62.85,34.83,32.27,95.0,98.0,6.89,RU
38,saskylakh,71.92,114.08,14.07,85.0,0.0,5.01,RU
39,dingle,11.0,122.67,83.3,71.0,13.0,11.9,PH
40,coihaique,-45.58,-72.07,43.93,93.0,90.0,5.82,CL
41,cayenne,4.93,-52.33,80.6,83.0,90.0,4.7,GF
42,quatre cocos,-20.21,57.76,75.96,83.0,40.0,11.41,MU
43,port alfred,-33.59,26.89,63.0,88.0,0.0,5.01,ZA
45,severo-kurilsk,50.68,156.12,34.54,89.0,22.0,13.94,RU
46,poum,-20.23,164.02,78.94,75.0,52.0,12.77,NC
48,san cristobal,7.77,-72.22,70.36,61.0,62.0,0.83,VE
49,rio gallegos,-51.62,-69.22,53.6,37.0,82.0,17.22,AR
50,lagos,6.58,3.75,84.2,83.0,40.0,4.7,NG
51,mae hong son,19.3,97.97,75.72,41.0,1.0,0.98,TH
52,halkirk,52.28,-112.15,41.0,43.0,58.0,4.0,CA
53,dikson,73.51,80.55,35.65,87.0,100.0,20.71,RU
55,mahebourg,-20.41,57.7,76.21,83.0,40.0,11.41,MU
56,vaini,-21.2,-175.2,80.6,74.0,40.0,12.75,TO
57,butaritari,3.07,172.79,83.34,77.0,88.0,17.34,KI
59,bluff,-46.6,168.33,55.99,68.0,100.0,10.0,NZ
60,ahuimanu,21.44,-157.84,79.77,54.0,75.0,10.29,US
62,port elizabeth,-33.92,25.57,60.8,100.0,0.0,1.12,ZA
63,punta arenas,-53.15,-70.92,48.09,66.0,40.0,16.11,CL
64,seoul,37.57,126.98,57.22,67.0,90.0,3.36,KR
66,atuona,-9.8,-139.03,82.0,75.0,95.0,17.6,PF
67,agadez,19.75,10.25,81.91,12.0,0.0,8.37,NE
68,khatanga,71.97,102.5,14.76,94.0,0.0,4.16,RU
69,hobart,-42.88,147.33,53.04,76.0,75.0,8.05,AU
70,kapaa,22.08,-159.32,78.89,65.0,1.0,6.93,US
71,clyde river,70.47,-68.59,8.6,84.0,90.0,11.41,CA
72,rikitea,-23.12,-134.97,77.41,70.0,42.0,5.93,PF
73,san rafael,-34.62,-68.33,73.18,34.0,78.0,13.82,AR
